	Plate	Well	Well Number	Original Gene Target	Frames	Plate_Map_Name	Gene_Replicate	Site	DNA
121	LT0014_01	C4	52	ENSG00000149503	54	LT0014_01_52	1	1	LT0014_01/LT0014_01_52_54.tif
122	LT0014_12	A4	4	ENSG00000149503	54	LT0014_12_4	1	1	LT0014_12/LT0014_12_4_54.tif
123	LT0014_12	C1	49	ENSG00000149503	32	LT0014_12_49	1	1	LT0014_12/LT0014_12_49_32.tif
124	LT0014_12	C4	52	ENSG00000149503	48	LT0014_12_52	1	1	LT0014_12/LT0014_12_52_48.tif
125	LT0014_23	A4	4	ENSG00000149503	44	LT0014_23_4	1	1	LT0014_23/LT0014_23_4_44.tif
126	LT0014_23	C4	52	ENSG00000149503	34	LT0014_23_52	1	1	LT0014_23/LT0014_23_52_34.tif
127	LT0015_10	A4	4	ENSG00000149503	31	LT0015_10_4	1	1	LT0015_10/LT0015_10_4_31.tif
128	LT0015_10	C1	49	ENSG00000149503	55	LT0015_10_49	1	1	LT0015_10/LT0015_10_49_55.tif
129	LT0015_10	C4	52	ENSG00000149503	60	LT0015_10_52	1	1	LT0015_10/LT0015_10_52_60.tif
130	LT0015_17	A4	4	ENSG00000149503	44	LT0015_17_4	1	1	LT0015_17/LT0015_17_4_44.tif
131	LT0015_17	C1	49	ENSG00000149503	37	LT0015_17_49	1	1	LT0015_17/LT0015_17_49_37.tif
132	LT0015_17	C4	52	ENSG00000149503	51	LT0015_17_52	1	1	LT0015_17/LT0015_17_52_51.tif
133	LT0015_22	A4	4	ENSG00000149503	52	LT0015_22_4	1	1	LT0015_22/LT0015_22_4_52.tif
134	LT0015_22	C1	49	ENSG00000149503	37	LT0015_22_49	1	1	LT0015_22/LT0015_22_49_37.tif
135	LT0015_22	C4	52	ENSG00000149503	33	LT0015_22_52	1	1	LT0015_22/LT0015_22_52_33.tif
136	LT0015_44	A4	4	ENSG00000149503	43	LT0015_44_4	1	1	LT0015_44/LT0015_44_4_43.tif
137	LT0015_44	C1	49	ENSG00000149503	58	LT0015_44_49	1	1	LT0015_44/LT0015_44_49_58.tif
138	LT0015_44	C4	52	ENSG00000149503	52	LT0015_44_52	1	1	LT0015_44/LT0015_44_52_52.tif
139	LT0015_55	A4	4	ENSG00000149503	42	LT0015_55_4	1	1	LT0015_55/LT0015_55_4_42.tif
140	LT0015_55	C1	49	ENSG00000149503	38	LT0015_55_49	1	1	LT0015_55/LT0015_55_49_38.tif
141	LT0015_55	C4	52	ENSG00000149503	44	LT0015_55_52	1	1	LT0015_55/LT0015_55_52_44.tif
142	LT0015_70	C1	49	ENSG00000149503	39	LT0015_70_49	1	1	LT0015_70/LT0015_70_49_39.tif
143	LT0015_70	C4	52	ENSG00000149503	42	LT0015_70_52	1	1	LT0015_70/LT0015_70_52_42.tif
