	Plate	Well	Well Number	Original Gene Target	Frames
16058	LT0014_01	N3	315	negative control	34
16095	LT0014_01	O16	352	negative control	41
16142	LT0014_12	A15	15	negative control	43
16153	LT0014_12	B2	26	negative control	37
16190	LT0014_12	C15	63	negative control	34
16201	LT0014_12	D2	74	negative control	53
16431	LT0014_12	M16	304	negative control	61
16442	LT0014_12	N3	315	negative control	60
16479	LT0014_12	O16	352	negative control	36
16526	LT0014_23	A15	15	negative control	54
16537	LT0014_23	B2	26	negative control	42
16574	LT0014_23	C15	63	negative control	31
16585	LT0014_23	D2	74	negative control	42
16815	LT0014_23	M16	304	negative control	39
16826	LT0014_23	N3	315	negative control	51
16863	LT0014_23	O16	352	negative control	41
16910	LT0015_10	A15	15	negative control	53
16921	LT0015_10	B2	26	negative control	42
16958	LT0015_10	C15	63	negative control	36
16969	LT0015_10	D2	74	negative control	60
17199	LT0015_10	M16	304	negative control	59
17210	LT0015_10	N3	315	negative control	46
17247	LT0015_10	O16	352	negative control	39
17294	LT0015_17	A15	15	negative control	33
17305	LT0015_17	B2	26	negative control	58
17342	LT0015_17	C15	63	negative control	50
17353	LT0015_17	D2	74	negative control	56
17583	LT0015_17	M16	304	negative control	54
17594	LT0015_17	N3	315	negative control	52
17631	LT0015_17	O16	352	negative control	50
17678	LT0015_22	A15	15	negative control	45
17689	LT0015_22	B2	26	negative control	51
17726	LT0015_22	C15	63	negative control	52
17737	LT0015_22	D2	74	negative control	60
17967	LT0015_22	M16	304	negative control	34
17978	LT0015_22	N3	315	negative control	34
18015	LT0015_22	O16	352	negative control	38
18062	LT0015_44	A15	15	negative control	40
18073	LT0015_44	B2	26	negative control	40
18110	LT0015_44	C15	63	negative control	40
18121	LT0015_44	D2	74	negative control	54
18351	LT0015_44	M16	304	negative control	34
18362	LT0015_44	N3	315	negative control	45
18399	LT0015_44	O16	352	negative control	57
18446	LT0015_55	A15	15	negative control	49
18457	LT0015_55	B2	26	negative control	43
18494	LT0015_55	C15	63	negative control	34
18505	LT0015_55	D2	74	negative control	62
18746	LT0015_55	N3	315	negative control	40
18783	LT0015_55	O16	352	negative control	41
18830	LT0015_70	A15	15	negative control	58
18841	LT0015_70	B2	26	negative control	44
18878	LT0015_70	C15	63	negative control	38
18889	LT0015_70	D2	74	negative control	38
19119	LT0015_70	M16	304	negative control	60
19130	LT0015_70	N3	315	negative control	52
19167	LT0015_70	O16	352	negative control	32
19214	LT0016_15	A15	15	negative control	43
19225	LT0016_15	B2	26	negative control	33
19262	LT0016_15	C15	63	negative control	33
19273	LT0016_15	D2	74	negative control	55
19503	LT0016_15	M16	304	negative control	32
19514	LT0016_15	N3	315	negative control	36
19551	LT0016_15	O16	352	negative control	39
19598	LT0016_18	A15	15	negative control	62
19609	LT0016_18	B2	26	negative control	35
19646	LT0016_18	C15	63	negative control	31
19657	LT0016_18	D2	74	negative control	42
19887	LT0016_18	M16	304	negative control	33
19898	LT0016_18	N3	315	negative control	36
19935	LT0016_18	O16	352	negative control	61
19982	LT0016_26	A15	15	negative control	52
19993	LT0016_26	B2	26	negative control	61
20030	LT0016_26	C15	63	negative control	47
20041	LT0016_26	D2	74	negative control	61
20271	LT0016_26	M16	304	negative control	39
20282	LT0016_26	N3	315	negative control	60
20319	LT0016_26	O16	352	negative control	32
20366	LT0016_28	A15	15	negative control	48
20377	LT0016_28	B2	26	negative control	47
20414	LT0016_28	C15	63	negative control	34
20425	LT0016_28	D2	74	negative control	55
20655	LT0016_28	M16	304	negative control	58
20666	LT0016_28	N3	315	negative control	39
20703	LT0016_28	O16	352	negative control	51
20750	LT0017_01	A15	15	negative control	35
20761	LT0017_01	B2	26	negative control	47
20798	LT0017_01	C15	63	negative control	56
20809	LT0017_01	D2	74	negative control	34
21039	LT0017_01	M16	304	negative control	38
21050	LT0017_01	N3	315	negative control	59
21087	LT0017_01	O16	352	negative control	34
21134	LT0017_08	A15	15	negative control	49
21145	LT0017_08	B2	26	negative control	61
21182	LT0017_08	C15	63	negative control	60
21193	LT0017_08	D2	74	negative control	48
21434	LT0017_08	N3	315	negative control	32
21471	LT0017_08	O16	352	negative control	49
21518	LT0017_19	A15	15	negative control	48
21529	LT0017_19	B2	26	negative control	60
21566	LT0017_19	C15	63	negative control	51
21577	LT0017_19	D2	74	negative control	60
21807	LT0017_19	M16	304	negative control	33
21818	LT0017_19	N3	315	negative control	36
21855	LT0017_19	O16	352	negative control	36
21902	LT0018_03	A15	15	negative control	43
21913	LT0018_03	B2	26	negative control	43
21950	LT0018_03	C15	63	negative control	52
21961	LT0018_03	D2	74	negative control	60
22191	LT0018_03	M16	304	negative control	33
22202	LT0018_03	N3	315	negative control	46
22239	LT0018_03	O16	352	negative control	58
22286	LT0018_25	A15	15	negative control	52
22297	LT0018_25	B2	26	negative control	38
22334	LT0018_25	C15	63	negative control	38
22345	LT0018_25	D2	74	negative control	42
22575	LT0018_25	M16	304	negative control	53
22586	LT0018_25	N3	315	negative control	61
22623	LT0018_25	O16	352	negative control	48
22670	LT0018_41	A15	15	negative control	37
22681	LT0018_41	B2	26	negative control	38
22718	LT0018_41	C15	63	negative control	49
22729	LT0018_41	D2	74	negative control	59
22959	LT0018_41	M16	304	negative control	42
22970	LT0018_41	N3	315	negative control	50
23007	LT0018_41	O16	352	negative control	48
23054	LT0019_06	A15	15	negative control	40
23065	LT0019_06	B2	26	negative control	60
23102	LT0019_06	C15	63	negative control	45
23113	LT0019_06	D2	74	negative control	52
23343	LT0019_06	M16	304	negative control	40
23354	LT0019_06	N3	315	negative control	56
23391	LT0019_06	O16	352	negative control	49
23438	LT0019_38	A15	15	negative control	31
23449	LT0019_38	B2	26	negative control	58
23486	LT0019_38	C15	63	negative control	40
23497	LT0019_38	D2	74	negative control	59
23727	LT0019_38	M16	304	negative control	42
23738	LT0019_38	N3	315	negative control	48
23775	LT0019_38	O16	352	negative control	40
23822	LT0019_48	A15	15	negative control	57
23833	LT0019_48	B2	26	negative control	31
23870	LT0019_48	C15	63	negative control	53
23881	LT0019_48	D2	74	negative control	62
24111	LT0019_48	M16	304	negative control	47
24122	LT0019_48	N3	315	negative control	41
24159	LT0019_48	O16	352	negative control	35
24206	LT0020_03	A15	15	negative control	61
24217	LT0020_03	B2	26	negative control	55
24254	LT0020_03	C15	63	negative control	51
24265	LT0020_03	D2	74	negative control	62
24495	LT0020_03	M16	304	negative control	34
24506	LT0020_03	N3	315	negative control	50
24543	LT0020_03	O16	352	negative control	39
24590	LT0020_04	A15	15	negative control	55
24601	LT0020_04	B2	26	negative control	58
24638	LT0020_04	C15	63	negative control	60
24649	LT0020_04	D2	74	negative control	58
24879	LT0020_04	M16	304	negative control	45
24890	LT0020_04	N3	315	negative control	54
24927	LT0020_04	O16	352	negative control	31
24974	LT0020_09	A15	15	negative control	50
24985	LT0020_09	B2	26	negative control	39
25022	LT0020_09	C15	63	negative control	38
